fn,t,d,s
1unknown.png,Not readable,Not readable,Not readable
2020-10-08_3.png,3103,2980,2834
2020-10-08_4.png,3126,3087,2767
2020-10-08_5.png,3155,2894,2855
2unknown.png,3374,Not readable,3062
3unknown.png,3572,3162,Not readable
5unknown.png,3813,2883,3245
6unknown.png,3560,Not readable,3290
7qTbF8W (Large).png,Not readable,Not readable,Not readable
7unknown.png,3548,Not readable,3516
eVk0quV (Large).png,Not readable,Not readable,Not readable
hOqbdgt (Large).png,3523,3023,4090
lg8zT5n (Large).png,3472,3026,3938
Overwatch_Cama_s22.png,Not readable,Not readable,Not readable
Overwatch_Cama_s23.png,Not readable,Not readable,Not readable
Overwatch_Cama_s24.png,Not readable,Not readable,Not readable
Pepega1.png,Not readable,2915,2383
Pepega2.png,NoSR,3037,2816
Pepega3.png,NoSR,3064,2954
ReSIKVg (Large).png,Not readable,Not readable,Not readable
Season_22-_Chippy.png,Not readable,Not readable,Not readable
Season_23-_Chippy.png,Not readable,Not readable,Not readable
Season_24-_Chippy.png,Not readable,Not readable,Not readable
Snimek_obrazovky_126.png,2599,2633,3545
Snimek_obrazovky_127.png,2726,2656,3543
Snimek_obrazovky_128.png,2839,2648,3569
unknown-1.png,3551,NoSR,NoSR
unknown.png,3404,NoSR,NoSR
unknown3.png,3396,NoSR,NoSR
wRgUl4i (Large).png,3472,3012,3520
5V8Ks2o (Large).jpeg,4053,Not readable,4052
gs7typz (Large).jpeg,NoSR,2924,NoSR
P4KpDYg (Large).jpeg,2907,3267,NoSR
5EJLNvi (Large).jpg,Not readable,3226,3099
c58ab204ef7fbf2db124bcb6ba8c17f1 (Large).jpg,Not readable,NoSR,NoSR
e7f49a67289df05fdc353fad4d77c043 (Large).jpg,4176,NoSR,NoSR
fcfb911a2a2ba86b9768c1be28cb13e6 (Large).jpg,Not readable,NoSR,NoSR
iEr3klC (Large).jpg,NoSR,Not readable,NoSR
PJbu22w (Large).jpg,NoSR,Not readable,NoSR
ScreenShot_20-10-08_15-03-00-000.jpg,Not readable,2978,3407
ScreenShot_20-10-08_15-03-03-000.jpg,3207,NoSR,3534
ScreenShot_20-10-08_15-03-05-000.jpg,NoSR,NoSR,3517
ScreenShot_20-10-08_18-41-00-000.jpg,2267,Not readable,2172
ScreenShot_20-10-08_18-49-14-000.jpg,2459,2059,2158
ScreenShot_20-10-08_18-55-04-000.jpg,2303,Not readable,2050
